OFFENSE DESCRIPTION,STATUTE,TYPE,CLASS,NIBR,UCR
INJURY TO AN ELDERLY PERSON RECKLESS,22.04(a)(2),Offense,,13A,04
SBI/MENTAL,,,,,
INJURY TO AN ELDERLY PERSON,22.04(g),Offense,,13A,04
RECKLESS/CRIMINAL NEGLECT,,,,,
INJURY TO AN ELDERLY PERSON SBI/MENTAL,22.04(a)(1),Offense,,13A,04
INJURY TO AN ELDERLY PERSON W/INTBODILY,22.04(a)(3),Offense,,13B,08
INJURY TO A,,,,,
INSURANCE FRAUD,35.02(d)(3),Offense,,26A,11
INTERFERE W/ RAILROAD PROPERTY,28.07(b),Offense,,TRF,TRF
INTERFERE W/CHILD CUSTODY,25.03,Offense,,90F,20
INTERFERE W/PUBLIC DUTIES,38.15(a),Offense,,90C,24
INTERFERE WITH EMERGENCY TELEPHONE CALL,PC 42.062,Offense,,90Z,26
INTERFERE WITH FUNERAL PROCESSION,,Offense,,90Z,26
INTOXICATED ASSAULT W/  VEHICLE SBI,49.07,Offense,,13A,04
INTOXICATED MANSLAUGHTER W/ VEHICLE,49.08,Offense,,09B,01B
INVASIVE VISUAL RECORDING,21.15 (b) (1),Offense,FELONY,90Z,26
INVESTIGATION / INFORMATION,,Offense,,TRF,TRF
ISSUANCE BAD CHECK FOR CHILD SUPPORT,32.41(f),Offense,,90A,11
ISSUANCE OF BAD CHECK,32.41,Offense,,90A,11
ISSUED INSPECTION CERT. FOR VEH. WITHOUT,548.004,Offense,,TRF,TRF
REQUIRED EQUIPMENT OR IN UNSAFE CONDITION,,,,,
JAYWALKING (CROSSED ROADWAY INTERSECTION,552.005,Offense,,TRF,TRF
DIAGONALLY),,,,,
JUNK VEHICLE - PRIVATE,,Offense,,90Z,26
JUSTIFIABLE HOMICIDE,UCR,Offense,,09C,01B
KEEPING A GAMBLING PLACE,47.04,Offense,,39B,19A
KIDNAPPING,20.03,Offense,,100,26
LEAVE REFUSE ON HIGHWAY (LITTERING),600.001,Offense,,90Z,26
LEAVING CHILD IN VEHICLE,PC 22.10,Offense,,90Z,26
LEND OR PERMIT USE OF DRIVER LICENSE OR ID,521.453,Offense,,TRF,TRF
LEWD/IMMORAL/INDECENT CONDUCT,104.01,Offense,,90C,24
LOITERING  (JUVENILES),,Offense,,90B,28
LOOSE LIVESTOCK,,Offense,,90Z,26
LOOSE MATERIAL NOT REMOVED,725.022,Offense,,TRF,TRF
MADE U-TURN ON CURVE OR HILL,545.102,Offense,,TRF,TRF
MAIL THEFT (IDENTIFYING INFORMATION)  >= 20 > 50,31.20(d)(3),Offense,FELONY,23H,06
MAIL THEFT (IDENTIFYING INFORMATION)  >= 50,31.20(d)(4),Offense,FELONY,23H,06
MAIL THEFT (IDENTIFYING INFORMATION) < 10,31.20(d)(1),Offense,FELONY,23H,06
MAIL THEFT (IDENTIFYING INFORMATION) >= 10 < 20,31.20(d)(2),Offense,FELONY,23H,06
MAIL THEFT < 10,31.20(c)(1),Offense,MISD,23H,06
MAIL THEFT >= 10 < 30,31.20(c)(2),Offense,FELONY,23H,06
MAIL THEFT >= 30,31.20(c)(3),Offense,FELONY,23H,06
MAKING ALCOHOL AVAILABLE TO MINOR,,Offense,,90G,22
MAN DANGEROUS DRUG,483.043,Offense,,35A,18
MAN DEL ABUSABLE GLUE/AEROSOL PAINT,485.032(a),Offense,,35A,18
W/ADDITIVE,,,,,
MAN DEL CS ANALOGUE PG 1A < 20AU,481.123(c),Offense,,35A,18
MAN DEL CS ANALOGUE PG 1A > = 20AU,481.123(c),Offense,,35A,18
MAN DEL CS ANALOGUE PG 1A >= 80AU,481.123(c),Offense,,35A,18
MAN DEL CS ANALOGUE PG 1A >= 80AU,481.123(c),Offense,,35A,18
MAN DEL CS ANALOGUE PG 2 < 1G,481.123(e),Offense,,35A,18
MAN DEL CS ANALOGUE PG 2 >= 1G < 4G,481.123(e),Offense,,35A,18
MAN DEL CS ANALOGUE PG 2 >= 400G,481.123(e),Offense,,35A,18
MAN DEL CS ANALOGUE PG 2 >= 4G < 400G,481.123(e),Offense,,35A,18
MAN DEL CS NOT IN PG,481.134(e),Offense,,35A,18
MAN DEL CS NOT IN PG DRUG FREE ZONE,481.119(a),Offense,,35A,18
MAN DEL CS PG 1 < 1G,481.112(b),Offense,,35A,18
MAN DEL CS PG 1 < 1G DRUG FREE ZONE,481.134(b)(d),Offense,,35A,18
MAN DEL CS PG 1 >= 1G < 4G,481.112(c),Offense,,35A,18
MAN DEL CS PG 1 >= 1G DRUG FREE ZONE,481.134(b)(c),Offense,,35A,18
MAN DEL CS PG 1 >= 200G < 400G,481.112(e),Offense,,35A,18
MAN DEL CS PG 1 >= 400G,481.112(f),Offense,,35A,18
MAN DEL CS PG 1 >= 4G < 200G,481.112(d),Offense,,35A,18
MAN DEL CS PG 1A < 20AU,481.1121(b)(,Offense,,35A,18
"",1),,,,
MAN DEL CS PG 1A >= 20 < 80AU,481.1121(b)(,Offense,,35A,18
"",2),,,,
MAN DEL CS PG 1A >= 4000AU,481.1121(b)(,Offense,,35A,18
"",4),,,,
MAN DEL CS PG 1A >= 80 < 4000AU,481.1121(b)(,Offense,,35A,18
"",3),,,,
MAN DEL CS PG 2 <1G,481.113(b),Offense,,35A,18
MAN DEL CS PG 2 <1G DRUG FREE ZONE,481.134(b)(d),Offense,,35A,18
MAN DEL CS PG 2 >= 1G < 4G,481.113(c),Offense,,35A,18
MAN DEL CS PG 2 >= 1G DRUG FREE ZONE,481.134(b)(c),Offense,,35A,18
MAN DEL CS PG 2 >= 4G < 400G,481.113(d),Offense,,35A,18
MAN DEL CS PG 3/4 < 28G,481.114(b),Offense,,35A,18
MAN DEL CS PG 3/4 < 28G DRUG FREE ZONE,481.134(b)(d),Offense,,35A,18
MAN DEL CS PG 3/4 >= 200G < 400G,481.114(d),Offense,,35A,18
MAN DEL CS PG 3/4 >= 28G < 200G,481.114(c),Offense,,35A,18
MAN DEL CS PG 3/4 >= 28G DRUG FREE ZONE,481.134(b)(c),Offense,,35A,18
MAN DEL CS PG 3/4 >= 400G,481.114(e),Offense,,35A,18
MANSLAUGHTER,19.04,Offense,,09B,01B
MEDICAID FRAUD,35A.02,Offense,MISD,26D,11
MINOR IN POSSESSION (DEFERRED),,Offense,,90G,22
MINOR IN POSSESSION OF TOBACCO PRODUCTS,,Offense,MISD,90Z,26
MISAPP FIDUC/FINAN PROP <$100,PC 32.45,Offense,MISD,26A,11
MISAPP FIDUC/FINAN PROP >=$100<$750,PC,Offense,MISD,26A,11
"",32.45(C)(2),,,,
MISAPP FIDUC/FINAN PROP >=$150K<$300K,PC,Offense,FELONY,26A,11
"",32.45(C)(6),,,,
"MISAPP FIDUC/FINAN PROP >=$2,500<$30K",PC,Offense,FELONY,26A,11
"",32.45(C)(4),,,,
MISAPP FIDUC/FINAN PROP >=$300K,PC,Offense,FELONY,26A,11
"",32.45(C)(7),,,,
MISAPP FIDUC/FINAN PROP >=$30K<$150K,PC,Offense,FELONY,26A,11
"",32.45(C)(5),,,,
"MISAPP FIDUC/FINAN PROP >=$750<$2,500",PC,Offense,MISD,26A,11
"",32.45(C)(3),,,,
MISAPPLICATION OF FIDUCIARY PROPERTY < $20,PC 32.45,Offense,MISD,26A,11
"MISAPPLICATION OF FIDUCIARY PROPERTY >=$1,500",PC 32.45,Offense,FELONY,26A,11
"< $20,000",,,,,
MISAPPLICATION OF FIDUCIARY PROPERTY,PC 32.45,Offense,FELONY,26A,11
">=$100,000 < $200,000",,,,,
MISAPPLICATION OF FIDUCIARY PROPERTY >=$20,PC 32.45,Offense,MISD,26A,11
"<$500",,,,,
"MISAPPLICATION OF FIDUCIARY PROPERTY >=$20,000",PC 32.45,Offense,FELONY,26A,11
"< $100,000",,,,,
MISAPPLICATION OF FIDUCIARY PROPERTY,PC 32.45,Offense,FELONY,26A,11
">=$200,000",,,,,
MISAPPLICATION OF FIDUCIARY PROPERTY >=$500 <,PC 32.45,Offense,MISD,26A,11
"$1,500",,,,,
MISREPRESENTATION OF AGE BY MINOR,106.07,Offense,MISD,26A,11
MISSING PERSON,,Offense,,TRF,TRF
MONEY LAUNDERING,34.02(a),Offense,,26A,11
MORE THAN 4 DRIVING LAMPS LIGHTED,547.302,Offense,,TRF,TRF
MORE THAN ONE LICENSE - CDL,522.026,Offense,,TRF,TRF
MOT. CYC. PASSENGER WITHOUT APPROVED,661.003,Offense,,TRF,TRF
HEADGEAR,,,,,
MOTOR CARRIER REGISTRATION REQUIREMENT,TRC 643.051,Traffic,MISD,TRF,TRF
MOTOR VEHICLE THEFT,31.03,Offense,OTHER,240,07
"MUFFLER VIOLATION (NONE, DEFECTIVE, LOUD, CUT",547.604,Offense,,TRF,TRF
"OUT OR BYPASS, SPECIFY)",,,,,
MURDER,19.02(b)(1),Offense,,09A,01A
MURDER UNDER INFLUENCE OF SUDDEN PASSION,19.02,Offense,,09A,01A
NEGLIGENT COLLISION,545.401,Offense,,TRF,TRF
NO AUTOMATIC BRAKE APPLICATION ON BREAKAWAY,547.401,Offense,,TRF,TRF
"(TRAILERS, SEMITRAILERS AND POLE TRAILERS)",,,,,
NO BEAM INDICATOR,547.333,Offense,,TRF,TRF
NO CHAUF. LICENSE,521.022,Offense,,TRF,TRF
NO CLEARANCE (I.D. OR SIDE MARKER) LAMP(S) ON,547.352,Offense,,TRF,TRF
"(SPECIFY TYPE OF VEH. AND LOCATION ON VEH.)",,,,,
NO COM. DRIVER LICENSE (CDL),522.011,Offense,,TRF,TRF
NO ELECTRIC TURN SIGNAL LAMPS,547.324,Offense,,TRF,TRF
NO EXHAUST EMISSION SYSTEM (ORIGINALLY,547.605,Offense,,TRF,TRF
"EQUIPPED, BUT REMOVED)",,,,,
NO FIRE EXTINGUISHER,547.607,Offense,,TRF,TRF
NO FLAG ON PROJECTING LOAD,,Traffic,MISD,TRF,TRF
"NO FLAG ON PROJECTING LOAD (TO REAR OR SIDE,",547.382,Offense,,TRF,TRF
SPECIFY) DAYTIME,,,,,
NO HEAD LAMP(S) (WHEN NOT EQUIPPED),547.321,Offense,,TRF,TRF
NO HEAD LAMP(S) ON MOT. CYC. (OR MOTOR-DRIVEN,547.801,Offense,,TRF,TRF
CYCLE) (WHEN NOT EQUIPPED),,,,,
NO LAMP(S) ON PROJECTING LOAD (TO SIDE) AT,547.382,Offense,,TRF,TRF
NIGHT,,,,,
NO LAMPS (OR REFLECTORS) ON PROJECTING LOAD,547.382,Offense,,TRF,TRF
"(TO REAR) AT NIGHT",,,,,
NO LICENSE PLATE LAMP ON MOT. CYC. (OR MOTOR,547.801,Offense,,TRF,TRF
DRIVEN CYCLE),,,,,
NO LICENSE PLATE LIGHT,547.322,Offense,,TRF,TRF
"NO LIGHT(S) (FRONT, REAR) ON ANIMAL-DRAWN VEH.",547.326,Offense,,TRF,TRF
"(OR OTHER VEH.S WHEN APPLICABLE)",,,,,
NO MOTOR CYCLE OPERATOR LICENSE,521.221,Offense,,TRF,TRF
NO MULTIPLE-BEAM ROADLIGHTING EQUIPMENT,547.333,Offense,,TRF,TRF
NO OPERATOR/DRIVERS LICENSE,521.021,Offense,,TRF,TRF
NO PARKING BRAKES (OR DEFECTIVE PARKING,547.401,Offense,,TRF,TRF
BRAKES),,,,,
NO PARKING LAMP(S),547.383,Offense,,TRF,TRF
NO RED REFLECTOR (OR RED LIGHT) OR DEFECTIVE,551.104,Offense,,TRF,TRF
REFLECTOR (OR RED LIGHT) ON REAR OF BICYCLE,,,,,
"(OR MOTOR-ASSISTED BICYCLE) -- NIGHT",,,,,
NO REFLECTOR(S) ON REAR,547.325,Offense,,TRF,TRF
NO REFLECTOR(S) ON REAR OF MOT. CYC. (OR,547.801,Offense,,TRF,TRF
MOTOR-DRIVEN CYCLE),,,,,
NO REFLECTOR(S) ON SIDE (SPECIFY TYPE OF VEH.),547.352,Offense,,TRF,TRF
"-- AT OR NEAR FRONT, REAR, CENTRALLY (SPECIFY)",,,,,
NO SEAT BELT - ADULT PASSENGER,545.413,Traffic,MISD,TRF,TRF
NO SEAT BELT - DRIVER,545.413,Offense,,TRF,TRF
NO SIGNS ON SCHOOL BUS (APPLICABLE TO FRONT,547.701(c),Offense,,TRF,TRF
AND REAR ONLY),,,,,
NO SINGLE CONTROL TO OP. ALL BRAKES,547.402,Offense,,TRF,TRF
NO SLOW-MOVING VEH. EMBLEM (OF APPROVED,547.005,Offense,,TRF,TRF
TYPE),,,,,
NO STOP LAMP ON MOT. CYC. (OR MOTOR-DRIVEN,547.322,Offense,,TRF,TRF
CYCLE),,,,,
NO STOP LAMP(S),547.801,Offense,,TRF,TRF
NO TAIL LAMP ON MOTORCYLE (OR MOTOR-DRIVEN,547.801,Offense,,TRF,TRF
CYCLE),,,,,
NO TAIL LAMP(S) (WHEN NOT EQUIPPED),547.322,Offense,,TRF,TRF
NO TRAILER CHAINS,,Offense,,TRF,TRF
NO TURN SIGNAL LAMPS -- WHEN REQUIRED (VEH.,545.106,Offense,,TRF,TRF
NOT EQUIPPED),,,,,
NO TWO MEANS OF EMERGENCY BRAKE OPERATION,547.405,Offense,,TRF,TRF
"(AIR BRAKES OR VACUUM BRAKES)",,,,,
NO VALID INSPECTION CERT.,548.051,Offense,,TRF,TRF
NO VEHICULAR HAZARD WARNING LIGHTS ON FARM,547.371,Offense,,TRF,TRF
TRACTOR (OR SELF-PROPELLED FARM EQUIPMENT,,,,,
OR IMPLEMENT OF HUSBANDRY),,,,,
NO WARNING DEVICES ON BRAKES (OTHER THAN,547.407,Offense,,TRF,TRF
GAUGES WHEN VEH. EQUIPPED WITH BOTH AIR AND,,,,,
VACUUM BRAKES),,,,,
NO WARNING SIGNAL,547.407,Offense,,TRF,TRF
NO WHITE FLAG ON TOW CHAIN (OR CABLE),545.409,Offense,,TRF,TRF
NO WHITE LIGHT (OR DEFECTIVE LIGHT) ON FRONT,551.104,Offense,,TRF,TRF
OF BICYCLE (OR MOTOR-ASSISTED BICYCLE) --,,,,,
NIGHTTIME,,,,,
NO WINDSHIELD WIPER,547.603,Offense,,TRF,TRF
NO/DEFECTIVE LAMP(S) OR REFLECTOR(S) ON FARM,547.371,Offense,,TRF,TRF
"OR OTHER EQUIPMENT (HEAD LAMPS, TAIL LAMPS,",,,,,
ETC.),,,,,
NON-GUARDIAN PERMITTED UNLICENSED DRIVER TO,TC 521.458,Traffic,MISD,TRF,TRF
DRIVE,,,,,
NON-MOTORIZED VEH. (SPECIFY) ON PROHIBITED,545.065,Offense,,TRF,TRF
ROADWAY,,,,,
NOXIOUS/UNREASONABLE ODOR (CHEMICAL),,Offense,,90C,24
"NUISANCES (TRASH, RUBBISH,ETC.)",,Offense,,90Z,26
OBSCENE DISPLAY OR DISTRIBUTION,43.22,Offense,,370,26
OBSCENE LANGUAGE,,Offense,,90C,24
OBSCENE PROMOTION/PERFORMANCE,43.23(c),Offense,,370,26
OBSCURED OR INTERFERED WITH OFFICIAL TRAFFIC,544.006,Offense,,TRF,TRF
CONTROL DEVICE (OR RR SIGN),,,,,
OBSTRUCT HIGHWAY PASSAGEWAY,42.03,Offense,,90C,24
OBSTRUCTED VIEW THROUGH WINDSHIELD (SIDE OR,547.613,Offense,,TRF,TRF
REAR WINDOWS),,,,,
OBSTRUCTING TRAFFIC,545.363,Offense,,TRF,TRF
OBSTRUCTION OR RETALIATION,PC 36.06,Offense,FELONY,90Z,26
OFFENSIVE GESTURE/DISPLAY,,Offense,,90C,24
OFFENSIVE NOISE ON PREMISES,101.62,Offense,,90G,22
OFFER GIFT TO PUBLIC SERVANT,36.09,Offense,,510,26
ONLINE IMPERSONATION,PC 33.07,Offense,,26C,11
ONLINE SOLICITATION OF A MINOR,PC 33.021,Offense,FELONY,90Z,26
OPEN CONTAINER PROH ON PREMISE OF PACKAGE,22.1,Offense,,90G,22
STORE,,,,,
OPEN CONTAINERS PROHIBITED - WINE PACKAGE,24.09,Offense,,90G,22
STORE,,,,,
OPEN DOOR / WINDOW,,Offense,,TRF,TRF
"OPERATE A MOTOR VEHICLE OVER 20,000 SINGLE",621.101,Offense,,TRF,TRF
AXLE,,,,,
"OPERATE A MOTOR VEHICLE OVER 34,000 LBS",621.101,Offense,,TRF,TRF
TANDEM AXLE,,,,,
"OPERATE A MOTOR VEHICLE OVER 44,000 LBS",622.012,Offense,,TRF,TRF
TANDEM-CEMENT,,,,,
"OPERATE A MOTOR VEHICLE OVER 44,000 LBS",623.162,Offense,,TRF,TRF
TANDEM-SOLID WASTE,,,,,
"OPERATE A MOTOR VEHICLE OVER 64,000 LBS GROSS",623.162,Offense,,TRF,TRF
WEIGHT-SOLID WASTE,,,,,
"OPERATE A MOTOR VEHICLE OVER 64,000 LBS",622.012,Offense,,TRF,TRF
TANDEM-CEMENT,,,,,
OPERATE A MOTOR VEHICLE OVER AXLE LOAD,621.101,Offense,,TRF,TRF
"(ZONED)",,,,,
OPERATE A MOTOR VEHICLE OVER GROSS (ZONED),621.301,Offense,,TRF,TRF
OPERATE A MOTOR VEHICLE OVER GROSS WEIGHT,621.101,Offense,,TRF,TRF
OPERATE A MOTOR VEHICLE OVER PERMISSIBLE,621.101,Offense,,TRF,TRF
WHEEL WEIGHT,,,,,
OPERATE A MOTOR VEHICLE OVER TANDEM LOAD,621.206,Offense,,TRF,TRF
"(ZONED)",,,,,
OPERATE A MOTOR VEHICLE OVER TIRE SIZE,621.101,Offense,,TRF,TRF
LIMITATION,,,,,
OPERATE A MOTOR VEHICLE OVER WEIGHT GROUP,621.101,Offense,,TRF,TRF
OF AXLES,,,,,
OPERATE A MOTOR VEHICLE OVER WHEEL LOAD,621.201,Offense,,TRF,TRF
"(ZONED)",,,,,
OPERATE AN OVERCROWDED SCHOOL BUS,750.001,Offense,TRF,TRF
OPERATE AN OVERHEIGHT VEHICLE,621.207,Offense,TRF,TRF
OPERATE AN OVERLENGTH COMBINATION VEHICLE,621.203,Offense,TRF,TRF
OPERATE AN OVERLENGTH VEH. (SINGLE VEH.),621.205,Offense,TRF,TRF
OPERATE AN OVERWEIGHT GROUP OF AXLES,621.101,Offense,TRF,TRF
"(B-BRIDGE LAW)",,,,
OPERATE AN OVERWIDTH VEHICLE,621.201,Offense,TRF,TRF
OPERATE MOTOR CYCLE WITHOUT APPROVED,661.003,Offense,TRF,TRF
HEADGEAR,,,,
OPERATE MOTOR VEH. WITHOUT LICENSE PLATES,502.404,Offense,TRF,TRF
"(OR WITH ONE PLATE)",,,,
OPERATE MOTOR VEHICLE W/O FINANCIAL,601.195(a),Offense,TRF,TRF
RESPONSIBILITY M*,,,,
OPERATE UNREGISTERED MOTOR VEHICLE.,502.002,Offense,TRF,TRF
OPERATE VEH. WHERE PROHIBITED,545.064,Offense,TRF,TRF
OPERATE VEH. WITH CHILD IN OPEN BED,545.414,Offense,TRF,TRF
OPERATE WITH LICENSE PLATE FOR OTHER CLASS,502.403,Offense,TRF,TRF
VEH.,,,,
OUTDOOR BURNING,,Offense,90Z,26
OVERWEIGHT VIOLATION - 2ND OFFENSE,621.206,Offense,TRF,TRF
OVERWEIGHT VIOLATION - 3RD OFFENSE,621.206,Offense,TRF,TRF
OWNER (PARENT OR GUARDIAN) PERMITTED,542.302,Offense,TRF,TRF
VIOLATION (HAZARDOUS),,,,
OWNER PERMIT VIOLATION (NOT HAZARDOUS),542.302,Offense,TRF,TRF
PARK OR STAND IN FRONT OF PUBLIC/PRIVATE,545.302,Offense,TRF,TRF
DRIVEWAY,,,,
PARK OR STAND WITHIN 20 FT OF CROSSWALK AT,,Offense,TRF,TRF
INTERSECTION,,,,
PARK OR STAND WITHIN 20 FT OF DRIVEWAYTO,,Offense,TRF,TRF
FIRE STATION,,,,
PARK OR STAND WITHIN 30 FT OF A TRAFFIC,,Offense,TRF,TRF
CONTROL DEVICE,,,,
PARK/STAND IN FRONT OF PUBLIC/PRIVATEDRIVE,,Offense,TRF,TRF
PARK/STAND/STOP BETWEEN SAFETY ZONE AND,,Offense,TRF,TRF
CURB,,,,
PARKED (STAND OR STOP) IN PROHIBITED AREA,545.303,Offense,TRF,TRF
"(SIGNS BY HIGHWAY DEPARTMENT)",,,,
PARKED AND FAILED TO SET BRAKES,545.404,Offense,TRF,TRF
PARKED AT ANGLE (WHERE NOT PERMITTED),545.303,Offense,TRF,TRF
PARKED DOUBLE,,Offense,TRF,TRF
PARKED FACING TRAFFIC,545.303,Offense,TRF,TRF
PARKED IN BLOCK WHERE FIRE ENGINE STOPPED,545.407,Offense,TRF,TRF
PARKED ON GRADE -- FAILED TO TURN WHEELS,545.404,Offense,TRF,TRF
PARKED W/  WHEELS OVER 18 INCHES FROM CURB,545.303,Offense,,TRF,TRF
OR EDGE OF ROADWAY,,,,,
PARKED W/ HEAD LAMPS NOT DIMMED,547.383,Offense,,TRF,TRF
PARKED W/O LIGHTS,547.383,Offense,,TRF,TRF
PARKED W/O LOCKING IGNITION AND/OR REMOVING,545.404,Offense,,TRF,TRF
KEY (SPECIFY),,,,,
PARKED W/O STOPPING ENGINE UNATTENDED,545.404,Offense,,TRF,TRF
VEHICLE,,,,,
PARKED WITHIN 50 FEET OF RAILROAD CROSSING,545.302,Offense,,TRF,TRF
PARKING SO AS TO CREATE A TRAFFIC HAZARD,,Parking,MISD,TRF,TRF
"PARKING UNLAWFULLY, UNAUTH.",545.304,Offense,,TRF,TRF
PASSED - INSUFFICIENT CLEARANCE,545.054,Offense,,TRF,TRF
PASSED VEH. STOPPED FOR PEDESTRIAN,552.003,Offense,,TRF,TRF
PASSENGER INTERFERED WITH DRIVER'S VIEW (OR,545.206,Offense,,TRF,TRF
CONTROL),,,,,
PASSENGERS (EXCEEDING 3) (OR LOAD),545.417,Offense,,TRF,TRF
OBSTRUCTED DRIVER'S VIEW (OR DRIVER'S,,,,,
CONTROL),,,,,
PEDESTRIAN ENTERING PATH OF VEHICLE,552.003,Offense,,TRF,TRF
PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO,552.005,Offense,,TRF,TRF
VEH.,,,,,
PEDESTRIAN ON PROHIBITED ROADWAY,545.065,Offense,,TRF,TRF
PERJURY,37.02,Offense,,90Z,26
PERMIT UNLAWFUL USE OF OPERATOR/DRIVER,521.451,Offense,,TRF,TRF
"LICENSE (LEND TO ANOTHER, ETC.)",,,,,
PERMIT UNLICENSED MINOR TO DRIVE (PARENT OR,521.458,Offense,,TRF,TRF
GUARDIAN),,,,,
PERMIT UNLICENSED OPERATOR TO DRIVE (ALL,521.458,Offense,,TRF,TRF
EXCEPT PARENT OR GUARDIAN),,,,,
PERSON (OTHER THAN DRIVER) OPENED DOOR (OR,545.418,Offense,,TRF,TRF
LEFT DOOR OPEN) IN MOVING LANE OR TRAFFIC,,,,,
PLACARD -- OR OTHER MARKING REQUIRED (OR,549.101,Offense,,TRF,TRF
"VIOLATION OF DPS REGULATION, SPECIFY)",,,,,
PLACES WEAPONS PROHIBITED,PC 46.03,Offense,FELONY,520,15
POSS / OBTAIN CS SCH III/IV F3,HSC 481.129,Offense,FELONY,35A,18
POSS CERTAIN BEVERAGES PROH >17% ALCOHOL,69.12,Offense,,90G,22
POSS CS ANALOGUE PG 1 <1G,481.115(a),Offense,,35A,18
POSS CS ANALOGUE PG 1 >= 1G < 4G,481.115(a),Offense,,35A,18
POSS CS ANALOGUE PG 1 >= 200G < 400G,481.115(a),Offense,,35A,18
POSS CS ANALOGUE PG 1 >= 400G,481.115(a),Offense,,35A,18
POSS CS ANALOGUE PG 1 >= 4G < 200G,481.115(a),Offense,,35A,18
POSS CS ANALOGUE PG 1A < 20AU,481.1151,Offense,,35A,18
POSS CS ANALOGUE PG 1A >= 4000AU,481.1151,Offense,,35A,18
POSS CS ANALOGUE PG 1A >= 8000AU,481.1151,Offense,,35A,18
POSS CS ANALOGUE PG 1A >= 80AU,481.1151,Offense,,35A,18
POSS CS ANALOGUE PG 2 < 1G,481.116,Offense,,35A,18
POSS CS ANALOGUE PG 2 >= 1G < 4G,481.116,Offense,,35A,18
POSS CS ANALOGUE PG 2 >= 400G,481.116,Offense,,35A,18
POSS CS ANALOGUE PG 2 >= 4G < 400G,481.116,Offense,,35A,18
POSS CS BY FRAUD SCH I/II,481.129(a)(4),Offense,,35A,18
POSS CS BY FRAUD SCH III/IV F3,481.129(a)(4),Offense,,35A,18
POSS CS BY FRAUD SCH V,481.129(a)(4),Offense,,35A,18
POSS CS NOT IN PG,481.119(b),Offense,,35A,18
POSS CS NOT IN PG DRUG FREE ZONE,481.134(f),Offense,,35A,18
POSS CS PG 1 < 1G,481.115(b),Offense,,35A,18
POSS CS PG 1 < 1G DRUG FREE ZONE,481.134(d),Offense,,35A,18
POSS CS PG 1 >= 1G < 4G,481.115(c),Offense,,35A,18
POSS CS PG 1 >= 200G < 400G,481.115(e),Offense,,35A,18
POSS CS PG 1 >= 400G,481.115(f),Offense,,35A,18
POSS CS PG 1 >= 4G < 200G,481.115(d),Offense,,35A,18
POSS CS PG 1A < 20AU,481.1151(b)(,Offense,,35A,18
"",1),,,,
POSS CS PG 1A >= 20 < 80AU,481.1151(b)(,Offense,,35A,18
"",2),,,,
POSS CS PG 1A >= 4000 < 8000AU,481.1151(b)(,Offense,,35A,18
"",4),,,,
POSS CS PG 1A >= 80 < 4000AU,481.1151(b)(,Offense,,35A,18
"",3),,,,
POSS CS PG 1A >= 8000AU,481.1151(b)(,Offense,,35A,18
"",5),,,,
POSS CS PG 2 < 1G,481.116(b),Offense,,35A,18
POSS CS PG 2 < 1G DRUG FREE ZONE,481.134(d),Offense,,35A,18
POSS CS PG 2 >= 1G < 4G,481.116(c),Offense,,35A,18
POSS CS PG 2 >= 1G DRUG FREE ZONE,481.134(c),Offense,,35A,18
POSS CS PG 2 >= 400G,481.116(e),Offense,,35A,18
POSS CS PG 2 >= 4G < 400G,481.116(d),Offense,,35A,18
POSS CS PG 2A =< 2 OZ,481.1161,Offense,MISD,35A,18
POSS CS PG 2A > 2OZ <= 4OZ,481.1161,Offense,MISD,35A,18
POSS CS PG 2A > 4 OZ <= 5LBS,481.1161,Offense,FELONY,35A,18
POSS CS PG 2A > 5LBS <= 50LBS,481.1161,Offense,FELONY,35A,18
POSS CS PG 3 < 28G,481.117(b),Offense,,35A,18
POSS CS PG 3 < 28G DRUG FREE ZONE,481.134(e),Offense,,35A,18
POSS CS PG 3 >= 1G DRUG FREE ZONE,481.134(c),Offense,,35A,18
POSS CS PG 3 >= 200G < 400G,481.117(d),Offense,,35A,18
POSS CS PG 3 >= 28G < 200G,481.117(c),Offense,,35A,18
POSS CS PG 3 >= 400G,481.117(e),Offense,,35A,18
POSS CS PG 4 < 28G,481.134(f),Offense,MISD,35A,18
POSS CS PG 4 < 28G DRUG FREE ZONE,481.134(f),Offense,,35A,18
POSS CS PG 4 >= 200G < 400G,481.118(d),Offense,,35A,18
POSS CS PG 4 >= 28G < 200G,481.118(c),Offense,,35A,18
POSS CS PG 4 >= 28G DRUG FREE ZONE,481.134(c),Offense,,35A,18
POSS CS PG 4 >= 400G,481.118(e),Offense,,35A,18
POSS DEL DRUG PARAPHERNALIA TO PERON U/18YR,481.125,Offense,,35B,26
POSS GAMBLING,47.06,Offense,,39C,19C
DEVICE/EQUIPMENT/PARAPHERNALIA,,,,,
POSS MARIJUANA < 2OZ,481.121(b)(1),Offense,MISD,35A,18
POSS MARIJUANA <= 2 OZ DRUG FREE ZONE,481.134(f),Offense,,35A,18
POSS MARIJUANA > 2 OZ <= 4OZ DRUG FREE ZONE,481.134(e),Offense,,35A,18
POSS MARIJUANA > 2000LBS,481.121(b)(6),Offense,,35A,18
POSS MARIJUANA > 2OZ <= 4OZ,481.121(b)(2),Offense,,35A,18
POSS MARIJUANA > 4 OZ <= 5LBS DRUG FREE ZONE,481.134(d),Offense,,35A,18
